Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;Wahlkreissieger;
V;23.09.2013;0:18;2482;2482;LAN;15;Sachsen-Anhalt;1930875;1196886;19433;1177453;281979;485079;214645;30968;46760;22726;25878;1809;49618;3667;12343;1981;21717;1175169;298697;490906;230528;20667;38883;25717;26074;1235;16656;18046;4415;3345;;
V;22.09.2013;23:25;63;63;KRS;15001;Kreisfreie Stadt Dessau-Roßlau;72318;46669;649;46020;10633;18585;8216;1113;2364;884;893;56;2640;135;454;47;705;45964;9960;18904;8199;535;3184;887;932;;2689;674;;;;
V;23.09.2013;0:02;162;162;KRS;15002;Kreisfreie Stadt Halle (Saale);190752;124085;1757;122328;30407;44566;22425;3697;9555;3257;1699;276;5007;264;908;267;1876;122209;31729;42489;29896;2493;4870;2600;1587;402;3994;1063;;1086;;
V;23.09.2013;0:18;167;167;KRS;15003;Kreisfreie Stadt Magdeburg;194035;122196;1747;120449;29200;43453;25473;2889;7567;3115;1695;233;5189;362;971;302;2109;120087;30723;42024;30594;1635;5438;3498;2143;331;;1458;2243;;;
V;22.09.2013;21:59;158;158;KRS;15081;Altmarkkreis Salzwedel;73649;46549;743;45806;11179;19148;8668;1006;1751;810;967;77;1708;147;280;65;836;45713;14020;18671;8206;618;1646;1028;1149;;;375;;;;
V;22.09.2013;23:01;193;193;KRS;15082;Landkreis Anhalt-Bitterfeld;145331;88149;1539;86610;21733;35919;14506;2158;2309;1377;2191;202;4525;263;1330;97;1675;86474;24140;35312;13081;1895;1915;1051;2137;281;4450;2212;;;;
V;22.09.2013;23:10;220;220;KRS;15083;Landkreis Börde;148291;91522;1594;89928;18958;39256;17627;2664;2755;1627;1989;118;3518;298;967;151;1900;89622;18567;40317;20706;2778;2372;2757;;;;1580;;545;;
V;22.09.2013;22:39;251;251;KRS;15084;Burgenlandkreis;159816;98091;1586;96505;22881;41006;15931;2623;3030;1614;3270;136;4105;379;1374;156;1736;96355;24671;42926;14683;1447;4175;1904;4058;;;2112;;379;;
V;22.09.2013;22:59;201;201;KRS;15085;Landkreis Harz;193359;113574;2050;111524;24838;49088;21141;2522;4035;1949;2194;111;4248;366;763;269;2261;111313;24648;51872;21614;1550;4373;2203;2736;;;895;1422;;;
V;22.09.2013;23:10;112;112;KRS;15086;Landkreis Jerichower Land;79851;50292;897;49395;11281;20950;9650;1330;1525;928;914;52;1861;160;663;81;1080;49212;11194;21573;11409;908;1239;1465;;;;1274;;150;;
V;22.09.2013;22:28;195;195;KRS;15087;Landkreis Mansfeld-Südharz;125419;75929;1355;74574;19997;29917;13140;1892;1953;1264;2072;114;3077;290;767;91;1533;74396;21986;29678;13419;1448;1752;1751;2546;;;1162;;654;;
V;23.09.2013;0:02;210;210;KRS;15088;Saalekreis;162509;102091;1650;100441;23713;43659;16221;3421;3013;1789;2484;155;4300;363;1189;134;1826;100265;24906;45382;17313;1914;2446;2246;2929;46;773;1779;;531;;
V;23.09.2013;0:18;185;185;KRS;15089;Salzlandkreis;173180;102265;1809;100456;25758;41882;17982;2603;2773;1649;2355;151;3912;289;961;141;2035;100230;27955;41600;18652;1620;2109;1648;2510;175;1864;1347;750;;;
V;22.09.2013;21:59;186;186;KRS;15090;Landkreis Stendal;98729;61339;948;60391;14898;25592;11527;1271;1791;1187;1260;64;2118;159;442;82;1015;60324;18142;26015;10410;872;1352;1513;1465;;;555;;;;
V;22.09.2013;23:25;179;179;KRS;15091;Landkreis Wittenberg;113636;74135;1109;73026;16503;32058;12138;1779;2339;1276;1895;64;3410;192;1274;98;1130;73005;16056;34143;12346;954;2012;1166;1882;;2886;1560;;;;
V;22.09.2013;21:59;344;344;WKR;066;Altmark;172378;107888;1691;106197;26077;44740;20195;2277;3542;1997;2227;141;3826;306;722;147;1851;106037;32162;44686;18616;1490;2998;2541;2614;;;930;;;Hellmuth, Jörg (CDU);
V;22.09.2013;23:10;332;332;WKR;067;Börde-Jerichower Land;228142;141814;2491;139323;30239;60206;27277;3994;4280;2555;2903;170;5379;458;1630;232;2980;138834;29761;61890;32115;3686;3611;4222;;;;2854;;695;Behrens, Manfred (CDU);
V;22.09.2013;22:59;234;234;WKR;068;Harz;224908;132517;2320;130197;29876;56616;24415;2962;4702;2255;2658;136;4923;432;929;293;2584;129933;29860;59766;24876;1853;4928;2555;3304;;;1111;1680;;Brehmer, Heike (CDU);
V;23.09.2013;0:18;221;221;WKR;069;Magdeburg;244267;153029;2358;150671;36227;56371;31464;3654;8408;3636;2261;278;6315;459;1248;350;2813;150216;37889;54528;37822;2070;6023;4124;2772;399;;1854;2735;;Sorge, Tino (CDU);
V;22.09.2013;23:25;242;242;WKR;070;Dessau-Wittenberg;185954;120804;1758;119046;27136;50643;20354;2892;4703;2160;2788;120;6050;327;1728;145;1835;118969;26016;53047;20545;1489;5196;2053;2814;;5575;2234;;;Petzold, Hans Ulrich (CDU);
V;22.09.2013;23:01;291;291;WKR;071;Anhalt;236730;140638;2467;138171;35426;57355;23223;3556;3574;2199;3516;283;6636;389;1848;166;2683;137955;39717;56514;21243;2777;2884;1721;3450;388;6314;2947;;;de Vries, Kees (CDU);
