Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;
V;22.09.2013;23:25;63;63;GEM;15001000;Stadt Dessau-Roßlau;72318;46669;649;46020;10633;18585;8216;1113;2364;884;893;56;2640;135;454;47;705;45964;9960;18904;8199;535;3184;887;932;;2689;674;;;
V;23.09.2013;0:02;162;162;GEM;15002000;Stadt Halle (Saale);190752;124085;1757;122328;30407;44566;22425;3697;9555;3257;1699;276;5007;264;908;267;1876;122209;31729;42489;29896;2493;4870;2600;1587;402;3994;1063;;1086;
V;23.09.2013;0:18;167;167;GEM;15003000;Landeshauptstadt Magdeburg;194035;122196;1747;120449;29200;43453;25473;2889;7567;3115;1695;233;5189;362;971;302;2109;120087;30723;42024;30594;1635;5438;3498;2143;331;;1458;2243;;
V;22.09.2013;19:59;3;3;GEM;15081026;Gemeinde Flecken Apenburg-Winterfeld;1447;938;17;921;187;425;185;13;33;13;30;1;24;3;7;0;18;920;255;407;164;11;27;24;25;;;7;;;
V;22.09.2013;19:33;21;21;GEM;15081030;Stadt Arendsee (Altmark);5927;3424;51;3373;888;1405;603;87;137;57;57;8;99;8;19;5;54;3370;1113;1367;560;55;117;66;66;;;26;;;
V;22.09.2013;19:59;6;6;GEM;15081045;Gemeinde Beetzendorf;2788;1463;27;1436;315;588;267;25;97;37;31;1;59;4;10;2;27;1436;432;576;238;15;87;38;33;;;17;;;
V;22.09.2013;19:59;2;2;GEM;15081095;Gemeinde Dähre;1294;748;15;733;134;327;149;12;39;10;22;1;30;2;7;0;17;731;164;333;149;6;31;13;28;;;7;;;
V;22.09.2013;19:59;1;1;GEM;15081105;Gemeinde Flecken Diesdorf;1990;1086;20;1066;219;465;228;26;50;16;18;1;34;2;5;2;20;1066;255;464;239;15;45;20;22;;;6;;;
V;22.09.2013;20:48;34;34;GEM;15081135;Hansestadt Gardelegen;19711;10691;205;10486;2523;4401;1980;238;304;188;264;18;448;33;70;19;234;10457;3123;4316;1925;141;294;242;327;;;89;;;
V;22.09.2013;19:59;5;5;GEM;15081225;Gemeinde Jübar;1404;910;11;899;163;415;207;15;20;11;41;0;23;2;2;0;15;895;210;399;185;11;26;22;37;;;5;;;
V;22.09.2013;19:59;21;21;GEM;15081240;Stadt Kalbe (Milde);6673;3815;75;3740;950;1604;719;64;112;55;86;6;108;12;20;4;84;3731;1249;1464;697;43;87;75;90;;;26;;;
V;22.09.2013;19:33;16;16;GEM;15081280;Stadt Klötze;9008;5300;79;5221;1146;2315;1011;131;174;89;115;9;177;23;23;8;80;5220;1367;2341;1005;77;138;120;134;;;38;;;
V;22.09.2013;19:59;3;3;GEM;15081290;Gemeinde Kuhfelde;948;608;11;597;118;251;105;12;25;8;17;0;51;3;7;0;17;591;167;250;93;11;27;17;19;;;7;;;
V;22.09.2013;19:59;3;3;GEM;15081440;Gemeinde Rohrberg;944;571;9;562;123;236;114;7;18;14;15;1;25;5;4;0;10;561;133;241;122;4;18;15;20;;;8;;;
V;22.09.2013;19:59;31;31;GEM;15081455;Hansestadt Salzwedel;20752;10928;163;10765;2960;4234;1988;200;419;195;193;23;440;30;65;18;170;10758;3706;4042;1855;134;433;260;253;;;75;;;
V;22.09.2013;19:59;3;3;GEM;15081545;Gemeinde Wallstawe;763;464;5;459;86;200;99;9;12;9;16;0;24;0;4;0;7;457;121;204;88;2;11;10;19;;;2;;;
V;22.09.2013;20:10;9;9;GEM;15082005;Stadt Aken (Elbe);6963;3738;77;3661;887;1556;643;99;105;66;85;4;162;10;42;2;83;3655;990;1547;628;57;93;46;79;6;147;62;;;
V;22.09.2013;21:50;27;27;GEM;15082015;Stadt Bitterfeld-Wolfen;36756;17748;330;17418;4728;6676;2941;363;439;285;493;51;1146;56;216;24;352;17396;5290;6313;2655;354;366;211;494;78;1229;406;;;
V;22.09.2013;20:30;22;22;GEM;15082180;Stadt Köthen (Anhalt);22601;11318;235;11083;3071;4384;1979;248;296;211;221;21;494;30;118;10;252;11066;3566;4287;1765;160;223;141;231;33;448;212;;;
V;22.09.2013;22:56;13;13;GEM;15082241;Gemeinde Muldestausee;10212;6109;95;6014;1338;2685;935;178;150;93;154;16;356;11;92;6;103;6006;1431;2617;836;266;142;62;160;19;335;138;;;
V;22.09.2013;19:51;18;18;GEM;15082256;Gemeinde Osternienburger Land;7724;4257;110;4147;1067;1813;615;88;93;67;135;13;186;10;51;9;118;4139;1181;1793;573;54;73;74;128;14;185;64;;;
V;22.09.2013;20:00;10;10;GEM;15082301;Stadt Raguhn-Jeßnitz;8365;4651;82;4569;1045;1835;684;126;98;64;204;11;419;19;64;0;85;4566;1093;1829;648;102;86;52;193;18;433;112;;;
V;22.09.2013;20:50;14;14;GEM;15082340;Stadt Sandersdorf-Brehna;13062;7073;100;6973;1666;3042;1147;182;141;96;156;11;371;28;123;10;112;6961;1853;3030;1025;146;140;78;150;15;337;187;;;
