;Kurzzeichen;Name;Fläche;EW;Stand 2014-03-27
BW;Baden-Württemberg;35751;10569111
BY;Bayern;70550;12519571
BE;Berlin;891;3375222
BB;Brandenburg;29485;2449511
BR;Bremen;419;654774
HH;Hamburg;755;1734272
HE;Hessen;21114;6016481
MV;Mecklenburg-Vorpommern;23210;1600327
NI;Niedersachsen;47613;7778995
NW;Nordrhein-Westfalen;34109;17554329
RP;Rheinland-Pfalz;19854;3990278
SA;Saarland;2568;994287
SN;Sachsen;18420;4050204
ST;Sachsen-Anhalt;20450;2259393
SH;Schleswig-Holstein;15799;2806531
TH;Thüringen;16172;2170460
