;Schlüsselnummer;Name
15001000;Stadt Dessau-Roßlau;
15002000;Stadt Halle (Saale);
15003000;Landeshauptstadt Magdeburg;
15081026;Gemeinde Flecken Apenburg-Winterfeld;
15081030;Stadt Arendsee (Altmark);
15081045;Gemeinde Beetzendorf;
15081095;Gemeinde Dähre;
15081105;Gemeinde Flecken Diesdorf;
15081135;Hansestadt Gardelegen;
15081225;Gemeinde Jübar;
15081240;Stadt Kalbe (Milde);
15081280;Stadt Klötze;
15081290;Gemeinde Kuhfelde;
15081440;Gemeinde Rohrberg;
15081455;Hansestadt Salzwedel;
15081545;Gemeinde Wallstawe;
15082005;Stadt Aken (Elbe);
15082015;Stadt Bitterfeld-Wolfen;
15082180;Stadt Köthen (Anhalt);
15082241;Gemeinde Muldestausee;
15082256;Gemeinde Osternienburger Land;
15082301;Stadt Raguhn-Jeßnitz;
15082340;Stadt Sandersdorf-Brehna;
15082377;Stadt Südliches Anhalt;
15082430;Stadt Zerbst/Anhalt;
15082440;Stadt Zörbig;
15083020;Gemeinde Altenhausen;
15083025;Gemeinde Am Großen Bruch;
15083030;Gemeinde Angern;
15083035;Gemeinde Ausleben;
15083040;Gemeinde Barleben;
15083060;Gemeinde Beendorf;
15083115;Gemeinde Bülstringen;
15083120;Gemeinde Burgstall;
15083125;Gemeinde Calvörde;
15083130;Gemeinde Colbitz;
15083190;Gemeinde Eilsleben;
15083205;Gemeinde Erxleben;
15083230;Gemeinde Flechtingen;
15083245;Stadt Gröningen;
15083270;Stadt Haldensleben;
15083275;Gemeinde Harbke;
15083298;Gemeinde Hohe Börde;
15083320;Gemeinde Hötensleben;
15083323;Gemeinde Ingersleben;
15083355;Stadt Kroppenstedt;
15083361;Gemeinde Loitsche-Heinrichsberg;
15083390;Gemeinde Niedere Börde;
15083411;Stadt Oebisfelde-Weferlingen;
15083415;Stadt Oschersleben (Bode);
15083440;Gemeinde Rogätz;
15083485;Gemeinde Sommersdorf;
15083490;Gemeinde Sülzetal;
15083495;Gemeinde Süplingen;
15083505;Gemeinde Ummendorf;
15083515;Gemeinde Völpke;
15083531;Stadt Wanzleben-Börde;
15083535;Gemeinde Wefensleben;
15083557;Gemeinde Westheide;
15083565;Stadt Wolmirstedt;
15083580;Gemeinde Zielitz;
15084012;Gemeinde An der Poststraße;
15084013;Gemeinde Meineweh;
15084015;Stadt Bad Bibra;
15084025;Gemeinde Balgstädt;
15084115;Gemeinde Droyßig;
15084125;Stadt Eckartsberga;
15084130;Gemeinde Elsteraue;
15084132;Gemeinde Finne;
15084133;Gemeinde Finneland;
15084135;Stadt Freyburg (Unstrut);
15084150;Gemeinde Gleina;
15084170;Gemeinde Goseck;
15084207;Gemeinde Gutenborn;
15084235;Stadt Hohenmölsen;
15084246;Gemeinde Kaiserpfalz;
15084250;Gemeinde Karsdorf;
15084275;Gemeinde Kretzschau;
15084282;Gemeinde Lanitz-Hassel-Tal;
15084285;Stadt Laucha an der Unstrut;
15084315;Stadt Lützen;
15084335;Gemeinde Mertendorf;
15084341;Gemeinde Molauer Land;
15084355;Stadt Naumburg (Saale);
15084360;Stadt Nebra (Unstrut);
15084375;Stadt Osterfeld;
15084442;Gemeinde Schnaudertal;
15084445;Gemeinde Schönburg;
15084470;Stadt Stößen;
15084490;Stadt Teuchern;
15084550;Stadt Weißenfels;
15084560;Gemeinde Wethau;
15084565;Gemeinde Wetterzeube;
15084590;Stadt Zeitz;
15085035;Gemeinde Bad Suderode;
15085040;Stadt Ballenstedt;
15085055;Stadt Blankenburg (Harz);
15085090;Gemeinde Ditfurt;
15085110;Stadt Falkenstein/Harz;
15085120;Stadt Gernrode;
15085125;Gemeinde Groß Quenstedt;
15085135;Stadt Halberstadt;
15085140;Gemeinde Harsleben;
15085145;Stadt Harzgerode;
15085160;Gemeinde Hedersleben;
15085185;Gemeinde Huy;
15085190;Stadt Ilsenburg (Harz);
15085227;Gemeinde Nordharz;
15085228;Stadt Oberharz am Brocken;
15085230;Stadt Osterwieck;
15085235;Stadt Quedlinburg;
15085255;Gemeinde Rieder;
15085285;Stadt Schwanebeck;
15085287;Gemeinde Selke-Aue;
15085330;Stadt Thale;
15085365;Stadt Wegeleben;
15085370;Stadt Wernigerode;
15086005;Gemeinde Biederitz;
15086015;Stadt Burg;
15086035;Gemeinde Elbe-Parey;
15086040;Stadt Genthin;
15086055;Stadt Gommern;
15086080;Stadt Jerichow;
15086140;Stadt Möckern;
15086145;Gemeinde Möser;
